File Reference,Title,RO,Department,Start Date,End Date,PI Name,PI Surname,Tech Product,Type of Tech Product,Open Source?,Description,Year First Provided,Impact,URL
DT/E010350/1,SILVER: Semantic Interactive Learning Visualisation Environment Research,Open University,,2007-07-01,2010-04-30,Zdenek,Zdrahal,Decision Tree to support learning from images,Software,No,machine learning algorithms to identify patterns of learning using visual images,2010,"The method has been reused in another projects, 2 PhD theses are based on these principles",
DT/F002726/1,Monitoring and control of emissions in industrial processes using sensors,University of Cambridge,,2008-01-01,2010-12-31,Ramachandran,Kumar,Prototype SOx Sensor,Physical Model/Kit,,"A prototype analyser has been developed by the industrial partner EMC Ltd and being trialled in a commercial power station. The analyser includes an on-board diagnostic facility used to check the condition of both the SOx and the oxygen sensor. The analyser connects to an Ethernet network, allowing remote monitoring of an unlimited number of analysers from the power station control room. Custom software has been written to allow monitoring and recording of all necessary data.",,,
EP/C001486/1,Protein dynamics from discrete path sampling,University of Cambridge,,2005-06-01,2008-05-31,David John,Wales,GMIN,Software,Yes,global optimisation,Pre-2006,widespread use if basin-hopping,http://www-wales.ch.cam.ac.uk/GMIN/
EP/C001486/1,Protein dynamics from discrete path sampling,University of Cambridge,,2005-06-01,2008-05-31,David John,Wales,PATHSAMPLE,Software,Yes,"Harvesting a kinetic transition network for analysis of rare event dynamics. Calculation
of phenomenological rates.",2010,Widespread use of discrete path sampling,http://www-wales.ch.cam.ac.uk/PATHSAMPLE/
EP/C001486/1,Protein dynamics from discrete path sampling,University of Cambridge,,2005-06-01,2008-05-31,David John,Wales,pele,Software,Yes,Graphical based suit of software based on python for exploring energy landscapes,2013,Easy introduction to the potential energy landscape approach for new users.,http://pele-python.github.io/pele/
EP/C001656/1,Accuracy of non-invasive measurements of arterial blood pressure in continuous estimates of systemic and cerebrovascular control parameters in humans.,University of Leicester,,2005-11-14,2007-05-13,R,Panerai,Editing and analysis software,Software,No,Large number of dedicated Fortran programs for data editing and analysis.,Pre-2006,Software has been shared with collaborators allowing a number of groups to perform innovative data analyses in the area of non-invasive physiological measurement.,
EP/C005589/1,The CASIDE Project: Investigating Cooperative Applications in Situated Display Environments,Lancaster University,,2005-03-01,2008-08-31,Keith,Cheverst,Wray PhotoDisplay System,New/Improved Technique/Technology,,The Wray PhotoDisplay system (first developed as part of the EPSRC CASIDE project) comprises both hardware (touch screen displays) and software (which enables members of the Wray village community to submit photos and associated comments for display on the deployed touch screen displays). The latest developments to utilise the Wray PhotoDisplay is taking place under the EPSRC funded SHARC project and is utilising the content submitted by the Wray village community to support the co-curation and sharing of locative media experiences relating to the cultural heritage of the village.,2006,The Wray PhotoDisplay system is one of the longest 'in the wild' display based deployments from the academic research community. Since 2006 the system has been presented in numerous conferences and journal publications and in invited talks at national and international venues.,http://thesharcproject.wordpress.com/
EP/C006739/1,Modelling Non-Adiabatic Processes In Materials with Correlated Electron-Ion Dynamics: The Next Frontier in Quantum Modelling of Materials,Queen's University of Belfast,,2005-10-01,2009-10-31,Tchavdar,Todorov,Open-boundary non-equilibrium non-adiabatic electron-nuclear dynamics for molecular electronics,New/Improved Technique/Technology,,"This project started with tentative methods for electron-nuclear dynamics in molecular conductors. However work on the grant required advances on all fronts early on. First we developed a new time-dependent method for electronic current generation in atomic-scale systems. After its initial implementation and testing, this methodology was combined with a method we had developed for non-adiabatic electron-nuclear dynamics, providing the methodological basis for the rest of the project.",2007,"The above methodology enabled us to address new, time-dependent problems involving electron-nuclear interactions in atomic wires under very high current densities. The chief result no doubt was the discovery and demonstration of the atomic waterwheel effect, and non-conservative current-driven dynamics in these systems. It generated a new, active and growing, direction in the field as a whole, led to a fruitful ongoing collaboration with colleagues in Denmark and China, and to a substantial further project and grant, led by Dr. D. Dundas.",
EP/C006739/1,Modelling Non-Adiabatic Processes In Materials with Correlated Electron-Ion Dynamics: The Next Frontier in Quantum Modelling of Materials,Queen's University of Belfast,,2005-10-01,2009-10-31,Tchavdar,Todorov,pDINAMO,Software,No,"The theoretical methodology was integrated into our in-house computational package - pDINAMO - for open-boundary non-equilibrium non-adiabatic electron-nuclear dynamical simulations of molecular-scale conductors. This package was used for the simulations during the rest of the project, and remains in active use and development as part of ongoing further work.",2008,"The main application at the time was the demonstration - through direct real-time electron-nuclear simulations of atomic wires - of the atomic waterwheel effect. The package has enabled a wealth of further research since then, on transport and current-driven non-conservative dynamical effects in molecular-scale conductors.
The chief architect of pDINAMO - Dr. Dundas - is currently leading a 4-year EPSRC project on these novel applications.",
EP/C013409/1,Beyond Linear Arithmetic: Automatic Proof Procedures for the Reals,University of Cambridge,,2005-11-01,2008-10-31,Lawrence,Paulson,MetiTarski,Software,Yes,"MetiTarski is an automatic theorem prover, in other words, software that can take a mathematical problem and attempt to prove it. MetiTarski accepts problems that refer to trigonometric and other familiar mathematical functions. Its potential applications line fields such as engineering, specifically the design of electronic circuits, control systems and so forth.",2008,"It has been used in a number of research centres, including NASA Langley, where it has been applied to avionics problems.",http://www.cl.cam.ac.uk/~lp15/papers/Arith/index.html
EP/C013824/1,Development and Study of Hybrid Organic-Colloidal Quantum Dot Systems,University of Surrey,,2006-01-01,2008-03-31,Richard,Curry,Fullerite Photodetectors,Detection Devices,,"High performance hybrid, flexible, broadband photodetectors",2014,Direct contact from industry to engage in collaborative research. Industry providing new materials and funding for PhD studentship. Industry also providing advice on EPSRC funded research programme.,
EP/C013824/1,Development and Study of Hybrid Organic-Colloidal Quantum Dot Systems,University of Surrey,,2006-01-01,2008-03-31,Richard,Curry,Efficienct Near Infrared Electroluminescent Device,New/Improved Technique/Technology,,First truely efficient organic:inorganic hybrid light emitting diode operating in the near infrared,2008,Device architecture taken up by leading US group to develop further devices.,
EP/C013824/1,Development and Study of Hybrid Organic-Colloidal Quantum Dot Systems,University of Surrey,,2006-01-01,2008-03-31,Richard,Curry,Hybrid Photovoltaic Devices,New/Improved Technique/Technology,,First hybrid organic-inorganic photovoltaic device accessing visible and NIR spectral region,2007,Prompted worldwide research into the use of nanocrystals to improve solar cell efficiencies.,
EP/C509773/1,Continuous Processing Of Nanoparticles Using Immiscible Fluid Streams,University of Cambridge,,2005-09-01,2008-08-31,Adrian,Fisher,Design and development of a microfluidic immiscible liquid reactor,Physical Model/Kit,,Prototype reactors were developed to allow the controlled delivery of reagents contained within immiscible liquid steams flowing in direct contact with one another.  The bespoke reactors employed microfabrication techniques in order to construct well defined and precise configurations. The prototype reactors were employed to allow controlled candidate nanoparticle deposition studies to be performed.,,,
